Wall time,Step,Value
1596706161.0346215,1,2.4000000953674316
1596706186.7334003,2,3.575000047683716
1596706212.057441,3,3.755000114440918
1596706234.2703528,4,2.9049999713897705
1596706259.6170945,5,2.8949999809265137
1596706284.0768147,6,2.805000066757202
1596706312.6088138,7,2.7850000858306885
1596706337.2379105,8,3.740000009536743
1596706366.5561008,9,2.5350000858306885
1596706397.2165332,10,3.2049999237060547
1596706425.9467387,11,3.0999999046325684
1596706458.9484234,12,2.990000009536743
1596706483.4539695,13,3.075000047683716
1596706505.5898724,14,2.1649999618530273
1596706527.5578337,15,3.174999952316284
1596706550.4058566,16,2.865000009536743
1596706573.4613068,17,2.130000114440918
1596706596.57375,18,2.609999895095825
1596706619.5341923,19,2.430000066757202
1596706642.9629407,20,1.5149999856948853
1596706666.5641057,21,2.859999895095825
1596706690.5815024,22,2.7300000190734863
1596706714.5897694,23,2.619999885559082
1596706739.0599957,24,2.4049999713897705
1596706763.6630266,25,2.7950000762939453
1596706788.1560977,26,2.805000066757202
1596706812.9574106,27,3.7300000190734863
1596706844.0214128,28,4.25
1596706875.4338036,29,4.010000228881836
1596706905.933501,30,4.335000038146973
1596706935.6810417,31,5.039999961853027
1596706963.2193258,32,5.590000152587891
1596706991.8552308,33,5.670000076293945
1596707020.9485388,34,6.880000114440918
1596707053.3525379,35,5.019999980926514
1596707082.8470418,36,4.510000228881836
1596707116.440432,37,5.885000228881836
1596707143.289554,38,4.159999847412109
1596707172.187944,39,6.375
1596707201.4127748,40,6.900000095367432
1596707227.2274752,41,6.170000076293945
1596707253.7844925,42,6.255000114440918
1596707280.1861556,43,8.899999618530273
1596707307.1933131,44,9.3149995803833
1596707334.3412855,45,8.920000076293945
1596707360.606774,46,9.085000038146973
1596707387.3713226,47,11.375
1596707414.4714491,48,11.329999923706055
1596707441.108568,49,18.15999984741211
1596707468.5239449,50,12.180000305175781
1596707496.2758403,51,20.155000686645508
1596707523.8599675,52,15.489999771118164
1596707551.2983603,53,18.625
1596707578.8432546,54,17.575000762939453
1596707606.641058,55,18.360000610351562
1596707634.499834,56,18.524999618530273
1596707662.2870717,57,20.899999618530273
1596707690.1425443,58,18.709999084472656
1596707717.9204102,59,24.684999465942383
1596707746.1759052,60,22.360000610351562
1596707773.9865048,61,23.399999618530273
1596707801.6945908,62,35.540000915527344
1596707829.651923,63,35.064998626708984
1596707857.2821653,64,37.64500045776367
1596707885.102637,65,41.53499984741211
1596707912.7775002,66,50.60499954223633
1596707940.8762176,67,44.91999816894531
1596707968.6904685,68,46.79999923706055
1596707996.4063315,69,53.91999816894531
1596708024.3343344,70,55.810001373291016
1596708052.520247,71,66.81999969482422
1596708081.0717502,72,60.810001373291016
1596708110.1393874,73,58.96500015258789
1596708139.119994,74,60.79999923706055
1596708168.5310025,75,66.88500213623047
1596708197.8210514,76,63.23500061035156
